# U-Turn Demonstration
# Street Width: 6.0m
# Total Steps: 262
# Success: Yes
# Date: 2025-03-24 18:31:47

# Initial State: 3.000000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 3.000000, 2.450000, 1.570796, 66
1, 3.000000, 2.505556, 1.570796, 66
2, 3.000000, 2.561111, 1.570796, 66
3, 3.000000, 2.616667, 1.570796, 68
4, 3.000000, 2.672222, 1.570796, 68
5, 3.000000, 2.727778, 1.570796, 68
6, 3.000000, 2.783333, 1.570796, 68
7, 3.000000, 2.838889, 1.570796, 68
8, 3.000000, 2.894444, 1.570796, 68
9, 3.000000, 2.950000, 1.570796, 68
10, 3.000000, 3.005556, 1.570796, 68
11, 3.000000, 3.061111, 1.570796, 68
12, 3.000000, 3.116667, 1.570796, 68
13, 3.000000, 3.172222, 1.570796, 68
14, 3.000000, 3.227778, 1.570796, 68
15, 3.000000, 3.283333, 1.570796, 68
16, 3.000000, 3.338889, 1.588157, 68
17, 2.999036, 3.394436, 1.605519, 68
18, 2.997107, 3.449958, 1.622880, 131
19, 2.994215, 3.505438, 1.640241, 131
20, 2.990360, 3.560860, 1.657602, 131
21, 2.985543, 3.616206, 1.674963, 131
22, 2.979767, 3.671461, 1.692324, 131
23, 2.973032, 3.726607, 1.709685, 131
24, 2.965341, 3.781627, 1.727046, 131
25, 2.956695, 3.836506, 1.744407, 131
26, 2.947099, 3.891226, 1.761769, 131
27, 2.936553, 3.945772, 1.779130, 131
28, 2.925063, 4.000126, 1.796491, 131
29, 2.912630, 4.054273, 1.813852, 131
30, 2.899260, 4.108195, 1.831213, 131
31, 2.884955, 4.161878, 1.848574, 131
32, 2.869721, 4.215304, 1.865935, 131
33, 2.853561, 4.268457, 1.883296, 131
34, 2.836481, 4.321322, 1.900657, 131
35, 2.818486, 4.373882, 1.918019, 131
36, 2.799581, 4.426123, 1.935380, 131
37, 2.779773, 4.478027, 1.952741, 131
38, 2.759066, 4.529579, 1.970102, 131
39, 2.737467, 4.580764, 1.987463, 131
40, 2.714983, 4.631566, 2.004824, 131
41, 2.691620, 4.681971, 2.022185, 131
42, 2.667386, 4.731962, 2.039546, 131
43, 2.642287, 4.781525, 2.056907, 131
44, 2.616332, 4.830645, 2.074269, 131
45, 2.589528, 4.879307, 2.091630, 131
46, 2.561884, 4.927496, 2.108991, 131
47, 2.533407, 4.975198, 2.126352, 131
48, 2.504106, 5.022398, 2.143713, 131
49, 2.473990, 5.069083, 2.161074, 131
50, 2.443068, 5.115238, 2.178435, 131
51, 2.411350, 5.160849, 2.195796, 131
52, 2.378844, 5.205902, 2.213157, 131
53, 2.345562, 5.250385, 2.230519, 131
54, 2.379612, 5.206487, 2.247880, 131
55, 2.414418, 5.163186, 2.265241, 131
56, 2.449972, 5.120497, 2.282602, 66
57, 2.486261, 5.078431, 2.299963, 66
58, 2.523275, 5.037002, 2.317324, 1
59, 2.561002, 4.996221, 2.334685, 1
60, 2.599432, 4.956102, 2.352046, 1
61, 2.638552, 4.916655, 2.369407, 1
