# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 284
# Success: Yes
# Date: 2025-03-23 21:30:20

# Initial State: 5.400000, 2.450000, 1.570796

# step, x, y, gamma, action
134, 4.528114, 9.800619, 2.004824, 131
135, 4.504751, 9.851023, 2.022185, 131
136, 4.480517, 9.901014, 2.039546, 131
137, 4.455418, 9.950577, 2.056907, 131
138, 4.429463, 9.999697, 2.074269, 131
139, 4.402659, 10.048359, 2.074269, 68
140, 4.375855, 10.097021, 2.074269, 68
141, 4.349051, 10.145683, 2.091630, 131
142, 4.321407, 10.193872, 2.108991, 131
143, 4.292930, 10.241574, 2.126352, 131
144, 4.263629, 10.288774, 2.143713, 131
145, 4.233513, 10.335459, 2.161074, 131
146, 4.202591, 10.381614, 2.178435, 131
147, 4.170873, 10.427225, 2.195796, 131
148, 4.138368, 10.472278, 2.213157, 131
149, 4.105085, 10.516761, 2.230519, 131
150, 4.071035, 10.560658, 2.247880, 131
151, 4.036228, 10.603959, 2.265241, 131
152, 4.000675, 10.646648, 2.282602, 131
153, 3.964386, 10.688714, 2.299963, 131
154, 3.927372, 10.730143, 2.317324, 131
155, 3.889645, 10.770924, 2.334685, 131
156, 3.851215, 10.811043, 2.352046, 131
157, 3.812095, 10.850490, 2.369407, 131
158, 3.772295, 10.889251, 2.386769, 131
159, 3.731829, 10.927315, 2.404130, 131
160, 3.690708, 10.964672, 2.421491, 131
161, 3.648945, 11.001308, 2.438852, 131
162, 3.606552, 11.037215, 2.456213, 131
163, 3.563542, 11.072379, 2.473574, 131
164, 3.519928, 11.106792, 2.490935, 131
165, 3.475723, 11.140443, 2.508296, 131
166, 3.430941, 11.173321, 2.525657, 131
167, 3.385595, 11.205417, 2.543019, 131
168, 3.339698, 11.236720, 2.560380, 131
169, 3.293265, 11.267222, 2.577741, 131
170, 3.246309, 11.296914, 2.595102, 131
171, 3.198845, 11.325786, 2.612463, 131
172, 3.150887, 11.353829, 2.629824, 131
173, 3.102449, 11.381036, 2.647185, 131
174, 3.053546, 11.407397, 2.664546, 131
175, 3.004193, 11.432906, 2.681907, 131
176, 2.954405, 11.457554, 2.699269, 131
177, 2.904196, 11.481334, 2.716630, 131
178, 2.853582, 11.504239, 2.733991, 131
179, 2.802578, 11.526262, 2.751352, 131
180, 2.751199, 11.547396, 2.768713, 131
181, 2.699461, 11.567635, 2.786074, 131
182, 2.751543, 11.548297, 2.803435, 66
183, 2.803952, 11.529866, 2.820796, 1
184, 2.856673, 11.512349, 2.838157, 1
185, 2.909691, 11.495749, 2.855519, 1
186, 2.962989, 11.480071, 2.872880, 1
187, 3.016550, 11.465322, 2.890241, 1
188, 3.070360, 11.451505, 2.907602, 1
189, 3.124402, 11.438623, 2.924963, 1
190, 3.178659, 11.426682, 2.942324, 1
191, 3.233115, 11.415685, 2.959685, 1
192, 3.287754, 11.405635, 2.977046, 1
193, 3.342559, 11.396534, 2.994407, 1
194, 3.397514, 11.388387, 3.011769, 1
195, 3.452602, 11.381195, 3.029130, 1
196, 3.507807, 11.374960, 3.046491, 1
197, 3.563111, 11.369684, 3.063852, 1
198, 3.618499, 11.365370, 3.081213, 1
199, 3.673953, 11.362017, 3.098574, 1
200, 3.729457, 11.359628, 3.115935, 1
201, 3.784995, 11.358203, 3.133296, 1
202, 3.840548, 11.357742, 3.150657, 1
203, 3.784995, 11.357238, 3.168019, 1
204, 3.729459, 11.355771, 3.185380, 66
205, 3.673957, 11.353339, 3.202741, 66
206, 3.618505, 11.349944, 3.220102, 131
207, 3.563120, 11.345587, 3.237463, 131
208, 3.507820, 11.340269, 3.254824, 131
209, 3.452620, 11.333991, 3.272185, 131
210, 3.397538, 11.326757, 3.289546, 131
211, 3.342589, 11.318567, 3.306907, 131
212, 3.287791, 11.309425, 3.324269, 131
213, 3.233160, 11.299332, 3.341630, 131
214, 3.178712, 11.288293, 3.358991, 131
215, 3.124464, 11.276310, 3.376352, 131
216, 3.070433, 11.263388, 3.393713, 131
217, 3.016633, 11.249529, 3.411074, 131
218, 2.963083, 11.234738, 3.428435, 131
219, 2.909797, 11.219020, 3.445796, 131
220, 2.856792, 11.202380, 3.463157, 131
221, 2.804085, 11.184821, 3.480519, 131
222, 2.751689, 11.166350, 3.497880, 131
223, 2.803756, 11.185728, 3.497880, 131
224, 2.855823, 11.205106, 3.515241, 131
225, 2.907545, 11.225384, 3.532602, 131
226, 2.958907, 11.246558, 3.549963, 66
227, 3.009895, 11.268619, 3.567324, 64
228, 3.060491, 11.291563, 3.584685, 1
229, 3.110682, 11.315382, 3.602046, 1
230, 3.160451, 11.340068, 3.619407, 1
231, 3.209785, 11.365615, 3.636769, 1
232, 3.258667, 11.392014, 3.654130, 1
233, 3.210250, 11.364770, 3.671491, 1
234, 3.162314, 11.336690, 3.688852, 1
235, 3.114872, 11.307782, 3.706213, 1
236, 3.067939, 11.278054, 3.723574, 1
237, 3.021529, 11.247516, 3.740935, 66
238, 2.975657, 11.216177, 3.758296, 131
239, 2.930335, 11.184047, 3.775657, 131
240, 2.885578, 11.151134, 3.793019, 131
241, 2.841399, 11.117450, 3.810380, 131
242, 2.797812, 11.083004, 3.827741, 131
243, 2.754829, 11.047806, 3.845102, 131
244, 2.712463, 11.011867, 3.862463, 131
245, 2.670728, 10.975198, 3.879824, 131
246, 2.629636, 10.937810, 3.897185, 131
247, 2.589199, 10.899715, 3.914546, 131
248, 2.549429, 10.860923, 3.931907, 131
249, 2.510339, 10.821447, 3.949269, 131
250, 2.471940, 10.781298, 3.966630, 131
251, 2.434244, 10.740488, 3.983991, 131
252, 2.397262, 10.699030, 4.001352, 131
253, 2.361006, 10.656936, 4.018713, 131
254, 2.325485, 10.614220, 4.036074, 131
255, 2.290712, 10.570893, 4.053435, 131
256, 2.256696, 10.526969, 4.070796, 131
257, 2.223447, 10.482461, 4.088157, 131
258, 2.190976, 10.437382, 4.105519, 131
259, 2.159293, 10.391747, 4.122880, 131
260, 2.128407, 10.345568, 4.140241, 131
261, 2.098327, 10.298861, 4.157602, 131
262, 2.069062, 10.251638, 4.174963, 131
263, 2.040622, 10.203914, 4.192324, 131
264, 2.013014, 10.155703, 4.209685, 131
265, 1.986248, 10.107021, 4.227046, 131
266, 1.960331, 10.057881, 4.244407, 131
267, 1.935270, 10.008299, 4.261769, 131
268, 1.911075, 9.958289, 4.279130, 131
269, 1.887751, 9.907867, 4.296491, 131
270, 1.865305, 9.857047, 4.313852, 131
271, 1.843746, 9.805846, 4.331213, 131
272, 1.823079, 9.754277, 4.348574, 131
273, 1.803310, 9.702358, 4.365935, 131
274, 1.784445, 9.650104, 4.383296, 131
275, 1.766490, 9.597529, 4.400657, 131
276, 1.749451, 9.544651, 4.418019, 131
277, 1.733332, 9.491485, 4.435380, 131
278, 1.718139, 9.438048, 4.452741, 131
