# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 286
# Success: Yes
# Date: 2025-03-23 21:29:21

# Initial State: 1.100000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 1.100000, 2.450000, 1.570796, 66
1, 1.100000, 2.505556, 1.570796, 66
2, 1.100000, 2.561111, 1.570796, 66
3, 1.100000, 2.616667, 1.570796, 68
4, 1.100000, 2.672222, 1.570796, 68
5, 1.100000, 2.727778, 1.570796, 68
6, 1.100000, 2.783333, 1.570796, 68
7, 1.100000, 2.838889, 1.570796, 68
8, 1.100000, 2.894444, 1.570796, 68
9, 1.100000, 2.950000, 1.570796, 68
10, 1.100000, 3.005556, 1.553435, 68
11, 1.100964, 3.061103, 1.553435, 68
12, 1.101929, 3.116650, 1.553435, 5
13, 1.102893, 3.172197, 1.553435, 68
14, 1.103858, 3.227744, 1.553435, 68
15, 1.104822, 3.283291, 1.553435, 68
16, 1.105787, 3.338839, 1.553435, 68
17, 1.106751, 3.394386, 1.536074, 68
18, 1.108680, 3.449908, 1.536074, 68
19, 1.110608, 3.505430, 1.536074, 5
20, 1.112537, 3.560952, 1.536074, 68
21, 1.114466, 3.616474, 1.536074, 68
22, 1.116394, 3.671996, 1.536074, 68
23, 1.118323, 3.727518, 1.536074, 68
24, 1.120252, 3.783040, 1.536074, 68
25, 1.122180, 3.838562, 1.536074, 68
26, 1.124109, 3.894084, 1.536074, 68
27, 1.126037, 3.949607, 1.536074, 68
28, 1.127966, 4.005129, 1.536074, 68
29, 1.129895, 4.060651, 1.536074, 68
30, 1.131823, 4.116173, 1.536074, 68
31, 1.133752, 4.171695, 1.536074, 68
32, 1.135681, 4.227217, 1.536074, 68
33, 1.137609, 4.282739, 1.518713, 68
34, 1.140501, 4.338219, 1.518713, 68
35, 1.143394, 4.393699, 1.518713, 5
36, 1.146286, 4.449180, 1.518713, 68
37, 1.149178, 4.504660, 1.518713, 68
38, 1.152070, 4.560140, 1.518713, 68
39, 1.154962, 4.615620, 1.518713, 68
40, 1.157855, 4.671100, 1.518713, 68
41, 1.160747, 4.726581, 1.518713, 68
42, 1.163639, 4.782061, 1.518713, 68
43, 1.166531, 4.837541, 1.518713, 68
44, 1.169424, 4.893021, 1.501352, 68
45, 1.173278, 4.948443, 1.501352, 68
46, 1.177133, 5.003865, 1.501352, 5
47, 1.180988, 5.059286, 1.501352, 68
48, 1.184843, 5.114708, 1.501352, 68
49, 1.188698, 5.170130, 1.501352, 68
50, 1.192553, 5.225551, 1.501352, 68
51, 1.196408, 5.280973, 1.501352, 68
52, 1.200263, 5.336395, 1.501352, 68
53, 1.204118, 5.391816, 1.501352, 68
54, 1.207973, 5.447238, 1.501352, 68
55, 1.211828, 5.502660, 1.483991, 68
56, 1.216644, 5.558006, 1.483991, 68
57, 1.221461, 5.613352, 1.483991, 5
58, 1.226277, 5.668699, 1.483991, 68
59, 1.231094, 5.724045, 1.483991, 68
60, 1.235910, 5.779391, 1.483991, 68
61, 1.240727, 5.834738, 1.483991, 68
62, 1.245543, 5.890084, 1.483991, 68
63, 1.250359, 5.945431, 1.483991, 68
64, 1.255176, 6.000777, 1.483991, 68
65, 1.259992, 6.056123, 1.466630, 68
66, 1.265769, 6.111378, 1.466630, 68
67, 1.271546, 6.166632, 1.466630, 5
68, 1.277322, 6.221887, 1.466630, 68
69, 1.283099, 6.277141, 1.466630, 68
70, 1.288875, 6.332395, 1.466630, 68
71, 1.294652, 6.387650, 1.466630, 68
72, 1.300428, 6.442904, 1.466630, 68
73, 1.306205, 6.498159, 1.449269, 68
74, 1.312940, 6.553304, 1.449269, 68
75, 1.319675, 6.608450, 1.449269, 5
76, 1.326410, 6.663596, 1.449269, 68
77, 1.333145, 6.718742, 1.449269, 68
78, 1.339880, 6.773888, 1.449269, 68
79, 1.346615, 6.829033, 1.431907, 68
80, 1.354306, 6.884054, 1.414546, 68
81, 1.362951, 6.938933, 1.414546, 5
82, 1.371597, 6.993812, 1.414546, 5
83, 1.380242, 7.048690, 1.414546, 68
84, 1.388887, 7.103569, 1.414546, 68
85, 1.397532, 7.158448, 1.414546, 68
86, 1.406178, 7.213327, 1.414546, 68
87, 1.414823, 7.268205, 1.414546, 68
88, 1.423468, 7.323084, 1.414546, 68
89, 1.432113, 7.377963, 1.397185, 68
90, 1.441710, 7.432683, 1.397185, 68
