# U-Turn Demonstration
# Street Width: 6.0m
# Total Steps: 272
# Success: Yes
# Date: 2025-03-24 18:33:22

# Initial State: 4.900000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 4.900000, 2.450000, 1.570796, 66
1, 4.900000, 2.505556, 1.570796, 66
2, 4.900000, 2.561111, 1.570796, 68
3, 4.900000, 2.616667, 1.570796, 68
4, 4.900000, 2.672222, 1.570796, 68
5, 4.900000, 2.727778, 1.570796, 68
6, 4.900000, 2.783333, 1.570796, 68
7, 4.900000, 2.838889, 1.570796, 68
8, 4.900000, 2.894444, 1.570796, 68
9, 4.900000, 2.950000, 1.570796, 68
10, 4.900000, 3.005556, 1.588157, 68
11, 4.899036, 3.061103, 1.588157, 131
12, 4.898071, 3.116650, 1.588157, 68
13, 4.897107, 3.172197, 1.588157, 68
14, 4.896142, 3.227744, 1.588157, 68
15, 4.895178, 3.283291, 1.588157, 68
16, 4.894213, 3.338839, 1.588157, 68
17, 4.893249, 3.394386, 1.588157, 68
18, 4.892284, 3.449933, 1.588157, 68
19, 4.891320, 3.505480, 1.588157, 68
20, 4.890355, 3.561027, 1.588157, 68
21, 4.889391, 3.616575, 1.605519, 68
22, 4.887462, 3.672097, 1.605519, 131
23, 4.885534, 3.727619, 1.605519, 68
24, 4.883605, 3.783141, 1.605519, 68
25, 4.881676, 3.838663, 1.605519, 68
26, 4.879748, 3.894185, 1.605519, 68
27, 4.877819, 3.949707, 1.605519, 68
28, 4.875891, 4.005229, 1.605519, 68
29, 4.873962, 4.060751, 1.605519, 68
30, 4.872033, 4.116273, 1.605519, 68
31, 4.870105, 4.171795, 1.605519, 68
32, 4.868176, 4.227317, 1.605519, 68
33, 4.866247, 4.282839, 1.605519, 68
34, 4.864319, 4.338361, 1.605519, 68
35, 4.862390, 4.393884, 1.622880, 68
36, 4.859498, 4.449364, 1.622880, 131
37, 4.856606, 4.504844, 1.622880, 68
38, 4.853714, 4.560324, 1.622880, 68
39, 4.850821, 4.615804, 1.622880, 68
40, 4.847929, 4.671285, 1.622880, 68
41, 4.845037, 4.726765, 1.622880, 68
42, 4.842145, 4.782245, 1.622880, 68
43, 4.839253, 4.837725, 1.622880, 68
44, 4.836360, 4.893206, 1.622880, 68
45, 4.833468, 4.948686, 1.622880, 68
46, 4.830576, 5.004166, 1.622880, 68
47, 4.827684, 5.059646, 1.622880, 68
48, 4.824791, 5.115126, 1.622880, 68
49, 4.821899, 5.170607, 1.622880, 68
50, 4.819007, 5.226087, 1.622880, 68
51, 4.816115, 5.281567, 1.622880, 68
52, 4.813223, 5.337047, 1.640241, 68
53, 4.809368, 5.392469, 1.657602, 131
54, 4.804551, 5.447815, 1.657602, 131
55, 4.799735, 5.503162, 1.657602, 68
56, 4.794918, 5.558508, 1.657602, 68
57, 4.790102, 5.613854, 1.657602, 68
58, 4.785285, 5.669201, 1.657602, 68
59, 4.780469, 5.724547, 1.657602, 68
60, 4.775652, 5.779894, 1.657602, 68
61, 4.770836, 5.835240, 1.657602, 68
62, 4.766019, 5.890586, 1.657602, 68
63, 4.761203, 5.945933, 1.657602, 68
64, 4.756386, 6.001279, 1.657602, 68
65, 4.751570, 6.056625, 1.657602, 68
66, 4.746754, 6.111972, 1.657602, 68
67, 4.741937, 6.167318, 1.657602, 68
68, 4.737121, 6.222665, 1.674963, 68
69, 4.731344, 6.277919, 1.674963, 131
70, 4.725567, 6.333173, 1.674963, 68
71, 4.719791, 6.388428, 1.674963, 68
72, 4.714014, 6.443682, 1.674963, 68
73, 4.708238, 6.498937, 1.674963, 68
74, 4.702461, 6.554191, 1.674963, 68
75, 4.696685, 6.609446, 1.674963, 68
76, 4.690908, 6.664700, 1.674963, 68
77, 4.685131, 6.719954, 1.674963, 68
78, 4.679355, 6.775209, 1.692324, 68
79, 4.672620, 6.830355, 1.692324, 131
80, 4.665885, 6.885500, 1.692324, 68
81, 4.659150, 6.940646, 1.692324, 68
82, 4.652415, 6.995792, 1.692324, 68
83, 4.645680, 7.050938, 1.692324, 68
84, 4.638945, 7.106084, 1.692324, 68
85, 4.632210, 7.161229, 1.692324, 68
86, 4.625475, 7.216375, 1.692324, 68
87, 4.618740, 7.271521, 1.692324, 68
88, 4.612005, 7.326667, 1.692324, 68
89, 4.605270, 7.381813, 1.709685, 68
90, 4.597579, 7.436833, 1.727046, 131
91, 4.588934, 7.491712, 1.727046, 131
92, 4.580289, 7.546591, 1.727046, 68
93, 4.571643, 7.601470, 1.727046, 68
94, 4.562998, 7.656348, 1.727046, 68
95, 4.554353, 7.711227, 1.744407, 68
96, 4.544756, 7.765948, 1.744407, 131
97, 4.535159, 7.820668, 1.744407, 68
98, 4.525563, 7.875388, 1.744407, 68
99, 4.515966, 7.930109, 1.744407, 68
100, 4.506369, 7.984829, 1.744407, 68
101, 4.496773, 8.039550, 1.761769, 68
102, 4.486228, 8.094095, 1.761769, 131
103, 4.475682, 8.148641, 1.761769, 68
104, 4.465137, 8.203186, 1.761769, 68
105, 4.454592, 8.257732, 1.779130, 68
106, 4.443101, 8.312086, 1.796491, 131
107, 4.430669, 8.366233, 1.796491, 131
108, 4.418237, 8.420379, 1.796491, 68
109, 4.405804, 8.474526, 1.796491, 68
110, 4.393372, 8.528673, 1.813852, 68
111, 4.380001, 8.582595, 1.831213, 131
112, 4.365697, 8.636278, 1.831213, 131
113, 4.351392, 8.689960, 1.831213, 68
114, 4.337087, 8.743642, 1.848574, 68
115, 4.321853, 8.797068, 1.865935, 131
116, 4.305693, 8.850222, 1.883296, 131
117, 4.288614, 8.903087, 1.900657, 131
118, 4.270618, 8.955647, 1.918019, 131
119, 4.251714, 9.007887, 1.935380, 131
120, 4.231905, 9.059791, 1.952741, 131
121, 4.211198, 9.111343, 1.952741, 131
122, 4.190491, 9.162896, 1.952741, 68
123, 4.169784, 9.214448, 1.952741, 68
124, 4.149077, 9.266000, 1.952741, 68
125, 4.128370, 9.317553, 1.970102, 68
126, 4.106771, 9.368738, 1.987463, 131
127, 4.084287, 9.419540, 2.004824, 131
128, 4.060924, 9.469944, 2.022185, 131
129, 4.036690, 9.519936, 2.022185, 131
130, 4.012456, 9.569927, 2.022185, 68
131, 3.988222, 9.619918, 2.039546, 68
132, 3.963123, 9.669481, 2.056907, 131
133, 3.937168, 9.718601, 2.074269, 131
134, 3.910364, 9.767263, 2.091630, 131
135, 3.882720, 9.815452, 2.108991, 131
136, 3.854243, 9.863154, 2.126352, 131
137, 3.824942, 9.910354, 2.143713, 131
138, 3.794826, 9.957039, 2.161074, 131
139, 3.763904, 10.003194, 2.178435, 131
140, 3.732186, 10.048805, 2.195796, 131
141, 3.699680, 10.093858, 2.213157, 131
142, 3.666398, 10.138341, 2.230519, 131
143, 3.632348, 10.182239, 2.247880, 131
144, 3.597541, 10.225539, 2.265241, 131
145, 3.561988, 10.268228, 2.282602, 131
146, 3.525699, 10.310294, 2.299963, 131
