# U-Turn Demonstration
# Street Width: 6.0m
# Total Steps: 300
# Success: Yes
# Date: 2025-03-24 18:34:01

# Initial State: 3.000000, 2.450000, 1.658063

# step, x, y, gamma, action
0, 3.000000, 2.450000, 1.658063, 68
1, 2.995158, 2.505344, 1.658063, 68
2, 2.990316, 2.560688, 1.658063, 68
3, 2.985474, 2.616032, 1.658063, 68
4, 2.980632, 2.671377, 1.658063, 68
5, 2.975790, 2.726721, 1.658063, 68
6, 2.970948, 2.782065, 1.658063, 68
7, 2.966106, 2.837409, 1.658063, 131
8, 2.961264, 2.892753, 1.675424, 131
9, 2.955462, 2.948005, 1.692785, 131
10, 2.948702, 3.003148, 1.710146, 131
11, 2.940985, 3.058165, 1.727507, 68
12, 2.932315, 3.113039, 1.727507, 68
13, 2.923644, 3.167914, 1.727507, 68
14, 2.914973, 3.222789, 1.727507, 68
15, 2.906303, 3.277664, 1.727507, 68
16, 2.897632, 3.332539, 1.727507, 68
17, 2.888962, 3.387413, 1.727507, 68
18, 2.880291, 3.442288, 1.727507, 68
19, 2.871621, 3.497163, 1.727507, 68
20, 2.862950, 3.552038, 1.727507, 68
21, 2.854279, 3.606912, 1.727507, 68
22, 2.845609, 3.661787, 1.727507, 68
23, 2.836938, 3.716662, 1.727507, 68
24, 2.828268, 3.771537, 1.727507, 68
25, 2.819597, 3.826412, 1.727507, 68
26, 2.810927, 3.881286, 1.727507, 68
27, 2.802256, 3.936161, 1.727507, 68
28, 2.793585, 3.991036, 1.727507, 68
29, 2.784915, 4.045911, 1.727507, 68
30, 2.776244, 4.100785, 1.727507, 68
31, 2.767574, 4.155660, 1.727507, 68
32, 2.758903, 4.210535, 1.727507, 68
33, 2.750233, 4.265410, 1.727507, 68
34, 2.741562, 4.320285, 1.727507, 68
35, 2.732891, 4.375159, 1.727507, 68
36, 2.724221, 4.430034, 1.727507, 68
37, 2.715550, 4.484909, 1.727507, 68
38, 2.706880, 4.539784, 1.727507, 68
39, 2.698209, 4.594658, 1.727507, 68
40, 2.689539, 4.649533, 1.727507, 131
41, 2.680868, 4.704408, 1.744868, 131
42, 2.671246, 4.759124, 1.762229, 68
43, 2.660676, 4.813665, 1.762229, 68
44, 2.650105, 4.868205, 1.762229, 68
45, 2.639535, 4.922746, 1.762229, 68
46, 2.628965, 4.977287, 1.762229, 68
47, 2.618394, 5.031827, 1.762229, 68
48, 2.607824, 5.086368, 1.762229, 68
49, 2.597254, 5.140909, 1.762229, 68
50, 2.586683, 5.195450, 1.762229, 131
51, 2.576113, 5.249990, 1.779591, 131
52, 2.564597, 5.304339, 1.796952, 68
53, 2.552140, 5.358480, 1.796952, 68
54, 2.539683, 5.412621, 1.796952, 68
55, 2.527225, 5.466762, 1.796952, 131
56, 2.514768, 5.520903, 1.814313, 131
57, 2.501373, 5.574819, 1.831674, 131
58, 2.487043, 5.628495, 1.849035, 68
59, 2.471784, 5.681914, 1.849035, 68
60, 2.456525, 5.735333, 1.849035, 131
61, 2.441266, 5.788752, 1.866396, 131
62, 2.425082, 5.841898, 1.883757, 131
63, 2.407978, 5.894755, 1.901118, 131
64, 2.389959, 5.947307, 1.918479, 131
65, 2.371030, 5.999538, 1.935841, 131
66, 2.351197, 6.051433, 1.953202, 131
67, 2.330466, 6.102976, 1.970563, 131
68, 2.308844, 6.154151, 1.987924, 131
69, 2.286336, 6.204943, 2.005285, 131
70, 2.262950, 6.255337, 2.022646, 131
71, 2.238693, 6.305317, 2.040007, 131
72, 2.213572, 6.354868, 2.057368, 131
73, 2.187594, 6.403976, 2.074729, 131
74, 2.160768, 6.452625, 2.092091, 66
75, 2.188435, 6.404449, 2.109452, 66
76, 2.216934, 6.356760, 2.126813, 1
77, 2.246256, 6.309573, 2.144174, 1
78, 2.276393, 6.262902, 2.161535, 1
79, 2.307337, 6.216762, 2.178896, 1
80, 2.339076, 6.171165, 2.196257, 1
81, 2.371602, 6.126127, 2.213618, 1
82, 2.404905, 6.081660, 2.230979, 1
83, 2.438975, 6.037778, 2.248341, 1
84, 2.473802, 5.994494, 2.265702, 1
85, 2.509375, 5.951820, 2.283063, 1
86, 2.545683, 5.909771, 2.300424, 1
87, 2.582716, 5.868359, 2.317785, 1
88, 2.620463, 5.827596, 2.335146, 1
89, 2.658911, 5.787494, 2.352507, 1
90, 2.698049, 5.748066, 2.369868, 1
91, 2.737866, 5.709323, 2.387229, 1
92, 2.778350, 5.671277, 2.404591, 1
93, 2.819488, 5.633940, 2.421952, 1
94, 2.861269, 5.597322, 2.439313, 1
95, 2.903678, 5.561436, 2.456674, 1
96, 2.946704, 5.526291, 2.474035, 1
97, 2.990334, 5.491898, 2.491396, 1
98, 3.034554, 5.458268, 2.508757, 1
99, 3.079352, 5.425410, 2.526118, 1
100, 3.124713, 5.393336, 2.543479, 1
101, 3.170624, 5.362053, 2.560841, 1
102, 3.217071, 5.331572, 2.578202, 1
103, 3.264040, 5.301903, 2.595563, 1
104, 3.216563, 5.330752, 2.595563, 1
105, 3.169086, 5.359602, 2.612924, 3
106, 3.121115, 5.387624, 2.630285, 66
107, 3.072664, 5.414808, 2.647646, 68
108, 3.023749, 5.441147, 2.665007, 131
109, 2.974385, 5.466633, 2.682368, 131
110, 2.924585, 5.491258, 2.699729, 131
111, 2.874365, 5.515015, 2.717091, 131
112, 2.823740, 5.537897, 2.734452, 131
113, 2.772726, 5.559896, 2.751813, 131
114, 2.824115, 5.538786, 2.769174, 131
115, 2.875862, 5.518571, 2.786535, 131
116, 2.927952, 5.499257, 2.803896, 131
117, 2.980370, 5.480851, 2.821257, 66
118, 3.033099, 5.463357, 2.838618, 66
119, 3.086125, 5.446782, 2.855979, 1
120, 3.139430, 5.431129, 2.873341, 1
121, 3.192998, 5.416404, 2.890702, 1
122, 3.139182, 5.430197, 2.908063, 1
123, 3.085134, 5.443053, 2.925424, 1
124, 3.030872, 5.454969, 2.942785, 1
125, 2.976411, 5.465941, 2.960146, 1
126, 2.921767, 5.475967, 2.977507, 1
127, 2.866958, 5.485042, 2.994868, 66
128, 2.811999, 5.493164, 3.012229, 66
129, 2.756908, 5.500331, 3.029591, 131
130, 2.701700, 5.506540, 3.046952, 131
131, 2.646393, 5.511790, 3.064313, 131
132, 2.591004, 5.516079, 3.081674, 131
133, 2.646459, 5.512752, 3.099035, 131
134, 2.701965, 5.510389, 3.116396, 131
135, 2.757503, 5.508989, 3.133757, 131
136, 2.813056, 5.508554, 3.151118, 131
137, 2.868609, 5.509083, 3.168479, 131
138, 2.924145, 5.510576, 3.185841, 131
139, 2.979646, 5.513034, 3.203202, 131
140, 3.035096, 5.516454, 3.220563, 66
141, 3.090479, 5.520837, 3.237924, 1
142, 3.145777, 5.526180, 3.255285, 1
143, 3.200974, 5.532483, 3.272646, 1
144, 3.256053, 5.539743, 3.290007, 1
145, 3.201108, 5.531528, 3.307368, 1
146, 3.146314, 5.522360, 3.324729, 1
147, 3.091687, 5.512243, 3.342091, 1
148, 3.037245, 5.501179, 3.359452, 1
149, 2.983002, 5.489171, 3.376813, 1
150, 2.928977, 5.476223, 3.394174, 1
151, 2.875184, 5.462340, 3.411535, 1
152, 2.821640, 5.447524, 3.428896, 1
153, 2.768362, 5.431782, 3.446257, 66
154, 2.715365, 5.415116, 3.463618, 66
155, 2.768065, 5.432699, 3.480979, 131
156, 2.820451, 5.451194, 3.498341, 131
157, 2.872509, 5.470596, 3.515702, 131
158, 2.924222, 5.490898, 3.533063, 131
159, 2.975575, 5.512095, 3.550424, 131
160, 3.026552, 5.534181, 3.567785, 131
161, 3.077137, 5.557148, 3.585146, 66
162, 3.127317, 5.580989, 3.602507, 66
163, 3.177075, 5.605699, 3.619868, 66
164, 3.226397, 5.631268, 3.637229, 131
165, 3.177526, 5.604846, 3.654591, 131
166, 3.129122, 5.577580, 3.671952, 131
167, 3.081199, 5.549478, 3.689313, 131
168, 3.033770, 5.520548, 3.706674, 66
169, 2.986851, 5.490798, 3.724035, 1
170, 2.940455, 5.460239, 3.741396, 1
171, 2.894597, 5.428879, 3.758757, 1
172, 2.849290, 5.396728, 3.776118, 1
173, 2.804548, 5.363795, 3.793479, 1
174, 2.760385, 5.330090, 3.810841, 1
175, 2.716813, 5.295624, 3.828202, 1
176, 2.673847, 5.260406, 3.845563, 1
177, 2.631498, 5.224448, 3.862924, 1
178, 2.589780, 5.187759, 3.880285, 1
179, 2.548705, 5.150353, 3.897646, 3
180, 2.508285, 5.112239, 3.915007, 66
181, 2.468534, 5.073428, 3.932368, 131
182, 2.429462, 5.033934, 3.949729, 131
183, 2.391081, 4.993767, 3.967091, 131
184, 2.353404, 4.952940, 3.984452, 131
185, 2.390367, 4.994415, 4.001813, 131
186, 2.426604, 5.036526, 4.019174, 131
187, 2.462105, 5.079259, 4.036535, 131
188, 2.496859, 5.122602, 4.053896, 131
189, 2.530854, 5.166541, 4.071257, 131
190, 2.497627, 5.122018, 4.088618, 131
191, 2.465177, 5.076925, 4.105979, 131
192, 2.433514, 5.031275, 4.123341, 131
193, 2.402649, 4.985082, 4.140702, 131
194, 2.372591, 4.938360, 4.158063, 131
195, 2.343348, 4.891124, 4.175424, 131
196, 2.314930, 4.843387, 4.192785, 131
197, 2.287344, 4.795164, 4.210146, 131
198, 2.260600, 4.746469, 4.227507, 131
199, 2.234706, 4.697317, 4.244868, 131
200, 2.209668, 4.647724, 4.262229, 131
201, 2.185495, 4.597703, 4.279591, 66
202, 2.162195, 4.547269, 4.296952, 66
203, 2.139773, 4.496439, 4.314313, 1
204, 2.118237, 4.445228, 4.331674, 1
205, 2.097594, 4.393650, 4.349035, 1
206, 2.077848, 4.341722, 4.366396, 1
207, 2.059008, 4.289459, 4.383757, 1
208, 2.041077, 4.236876, 4.401118, 66
209, 2.024063, 4.183990, 4.418479, 131
210, 2.007968, 4.130817, 4.435841, 131
211, 1.992800, 4.077372, 4.453202, 131
212, 1.978561, 4.023672, 4.470563, 131
213, 1.965257, 3.969733, 4.487924, 131
214, 1.952891, 3.915572, 4.505285, 131
215, 1.941467, 3.861203, 4.522646, 131
216, 1.930989, 3.806645, 4.540007, 131
217, 1.921460, 3.751913, 4.557368, 131
218, 1.912882, 3.697023, 4.574729, 131
219, 1.905258, 3.641993, 4.592091, 131
220, 1.898591, 3.586839, 4.609452, 131
221, 1.892882, 3.531578, 4.609452, 131
222, 1.887174, 3.476316, 4.609452, 131
223, 1.881465, 3.421055, 4.626813, 131
224, 1.876717, 3.365702, 4.644174, 131
225, 1.872930, 3.310276, 4.644174, 131
226, 1.869143, 3.254850, 4.644174, 131
227, 1.865356, 3.199423, 4.644174, 131
228, 1.861570, 3.143997, 4.661535, 131
229, 1.858746, 3.088513, 4.678896, 131
230, 1.856885, 3.032989, 4.696257, 131
231, 1.855989, 2.977441, 4.696257, 131
232, 1.855093, 2.921892, 4.713618, 131
233, 1.855161, 2.866337, 4.713618, 131
234, 1.855229, 2.810781, 4.713618, 131
235, 1.855298, 2.755226, 4.713618, 131
236, 1.855366, 2.699670, 4.713618, 131
237, 1.855434, 2.644115, 4.713618, 131
238, 1.855503, 2.588559, 4.713618, 131
239, 1.855571, 2.533004, 4.713618, 131
240, 1.855639, 2.477448, 4.696257, 68
241, 1.854743, 2.421900, 4.696257, 68
242, 1.853847, 2.366351, 4.696257, 131
243, 1.852951, 2.310803, 4.696257, 131
244, 1.852055, 2.255255, 4.696257, 68
245, 1.851158, 2.199707, 4.696257, 68
246, 1.850262, 2.144158, 4.696257, 68
247, 1.849366, 2.088610, 4.696257, 131
248, 1.848470, 2.033062, 4.696257, 131
249, 1.847574, 1.977513, 4.696257, 131
250, 1.846678, 1.921965, 4.696257, 68
251, 1.845781, 1.866417, 4.713618, 131
252, 1.845850, 1.810861, 4.713618, 68
253, 1.845918, 1.755306, 4.713618, 68
254, 1.845986, 1.699750, 4.713618, 68
255, 1.846055, 1.644194, 4.713618, 68
256, 1.846123, 1.588639, 4.713618, 68
257, 1.846191, 1.533083, 4.713618, 68
258, 1.846259, 1.477528, 4.713618, 68
259, 1.846328, 1.421972, 4.713618, 5
260, 1.846396, 1.366417, 4.713618, 68
261, 1.846464, 1.310861, 4.713618, 68
262, 1.846533, 1.255306, 4.713618, 68
