# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 289
# Success: Yes
# Date: 2025-03-24 15:28:42

# Initial State: 5.400000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 5.400000, 2.450000, 1.570796, 66
1, 5.400000, 2.505556, 1.570796, 66
2, 5.400000, 2.561111, 1.570796, 66
3, 5.400000, 2.616667, 1.570796, 68
4, 5.400000, 2.672222, 1.570796, 68
5, 5.400000, 2.727778, 1.570796, 68
6, 5.400000, 2.783333, 1.570796, 68
7, 5.400000, 2.838889, 1.570796, 68
8, 5.400000, 2.894444, 1.570796, 68
9, 5.400000, 2.950000, 1.570796, 68
10, 5.400000, 3.005556, 1.570796, 68
11, 5.400000, 3.061111, 1.570796, 68
12, 5.400000, 3.116667, 1.570796, 68
13, 5.400000, 3.172222, 1.570796, 68
14, 5.400000, 3.227778, 1.588157, 68
15, 5.399036, 3.283325, 1.588157, 68
16, 5.398071, 3.338872, 1.588157, 131
17, 5.397107, 3.394419, 1.588157, 68
18, 5.396142, 3.449967, 1.588157, 68
19, 5.395178, 3.505514, 1.588157, 68
20, 5.394213, 3.561061, 1.588157, 68
21, 5.393249, 3.616608, 1.588157, 68
22, 5.392284, 3.672155, 1.588157, 68
23, 5.391320, 3.727702, 1.588157, 68
24, 5.390355, 3.783250, 1.588157, 68
25, 5.389391, 3.838797, 1.588157, 68
26, 5.388427, 3.894344, 1.588157, 68
27, 5.387462, 3.949891, 1.605519, 68
28, 5.385533, 4.005413, 1.605519, 68
29, 5.383605, 4.060935, 1.605519, 131
30, 5.381676, 4.116457, 1.605519, 68
31, 5.379748, 4.171979, 1.605519, 68
32, 5.377819, 4.227502, 1.605519, 68
33, 5.375890, 4.283024, 1.605519, 68
34, 5.373962, 4.338546, 1.605519, 68
35, 5.372033, 4.394068, 1.605519, 68
36, 5.370104, 4.449590, 1.605519, 68
37, 5.368176, 4.505112, 1.605519, 68
38, 5.366247, 4.560634, 1.605519, 68
39, 5.364319, 4.616156, 1.605519, 68
40, 5.362390, 4.671678, 1.622880, 68
41, 5.359498, 4.727158, 1.622880, 68
42, 5.356606, 4.782639, 1.622880, 131
43, 5.353713, 4.838119, 1.622880, 68
44, 5.350821, 4.893599, 1.622880, 68
45, 5.347929, 4.949079, 1.622880, 68
46, 5.345037, 5.004559, 1.622880, 68
47, 5.342144, 5.060040, 1.622880, 68
48, 5.339252, 5.115520, 1.622880, 68
49, 5.336360, 5.171000, 1.622880, 68
50, 5.333468, 5.226480, 1.622880, 68
51, 5.330576, 5.281960, 1.640241, 68
52, 5.326721, 5.337382, 1.657602, 68
53, 5.321904, 5.392729, 1.657602, 131
54, 5.317088, 5.448075, 1.657602, 131
55, 5.312271, 5.503421, 1.657602, 68
56, 5.307455, 5.558768, 1.657602, 68
57, 5.302638, 5.614114, 1.657602, 68
58, 5.297822, 5.669460, 1.657602, 68
59, 5.293005, 5.724807, 1.657602, 68
60, 5.288189, 5.780153, 1.657602, 68
61, 5.283372, 5.835500, 1.657602, 68
62, 5.278556, 5.890846, 1.657602, 68
63, 5.273739, 5.946192, 1.657602, 68
64, 5.268923, 6.001539, 1.657602, 68
65, 5.264106, 6.056885, 1.674963, 68
66, 5.258330, 6.112139, 1.674963, 68
67, 5.252553, 6.167394, 1.674963, 131
68, 5.246777, 6.222648, 1.674963, 68
69, 5.241000, 6.277903, 1.674963, 68
70, 5.235224, 6.333157, 1.674963, 68
71, 5.229447, 6.388412, 1.674963, 68
72, 5.223670, 6.443666, 1.674963, 68
73, 5.217894, 6.498920, 1.674963, 68
74, 5.212117, 6.554175, 1.674963, 68
75, 5.206341, 6.609429, 1.674963, 68
76, 5.200564, 6.664684, 1.674963, 68
77, 5.194788, 6.719938, 1.674963, 68
78, 5.189011, 6.775192, 1.692324, 68
79, 5.182276, 6.830338, 1.709685, 68
80, 5.174585, 6.885359, 1.709685, 131
81, 5.166894, 6.940379, 1.709685, 131
82, 5.159202, 6.995400, 1.709685, 68
83, 5.151511, 7.050421, 1.709685, 68
84, 5.143820, 7.105441, 1.709685, 68
85, 5.136128, 7.160462, 1.709685, 68
86, 5.128437, 7.215482, 1.709685, 68
87, 5.120746, 7.270503, 1.709685, 68
88, 5.113055, 7.325524, 1.709685, 68
89, 5.105363, 7.380544, 1.709685, 68
90, 5.097672, 7.435565, 1.727046, 68
91, 5.089027, 7.490443, 1.744407, 68
92, 5.079430, 7.545164, 1.761769, 131
93, 5.068885, 7.599709, 1.761769, 131
94, 5.058340, 7.654255, 1.761769, 131
95, 5.047795, 7.708801, 1.761769, 68
96, 5.037249, 7.763346, 1.761769, 68
97, 5.026704, 7.817892, 1.761769, 68
98, 5.016159, 7.872437, 1.761769, 68
99, 5.005614, 7.926983, 1.761769, 68
100, 4.995069, 7.981528, 1.761769, 68
101, 4.984523, 8.036074, 1.761769, 68
102, 4.973978, 8.090619, 1.761769, 68
103, 4.963433, 8.145165, 1.779130, 68
104, 4.951942, 8.199519, 1.796491, 68
105, 4.939510, 8.253666, 1.813852, 131
106, 4.926140, 8.307589, 1.813852, 131
107, 4.912769, 8.361511, 1.813852, 131
108, 4.899398, 8.415434, 1.813852, 68
