# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 181
# Success: Yes
# Date: 2025-03-23 21:31:06

# Initial State: 3.250000, 2.450000, 1.658063

# step, x, y, gamma, action
0, 3.250000, 2.450000, 1.658063, 66
1, 3.245158, 2.505344, 1.658063, 68
2, 3.240316, 2.560688, 1.658063, 68
3, 3.235474, 2.616032, 1.658063, 68
4, 3.230632, 2.671377, 1.658063, 68
5, 3.225790, 2.726721, 1.658063, 68
6, 3.220948, 2.782065, 1.658063, 68
7, 3.216106, 2.837409, 1.658063, 68
8, 3.211264, 2.892753, 1.658063, 68
9, 3.206422, 2.948097, 1.658063, 68
10, 3.201580, 3.003441, 1.675424, 131
11, 3.195778, 3.058693, 1.692785, 131
12, 3.189018, 3.113836, 1.710146, 131
13, 3.181301, 3.168853, 1.727507, 131
14, 3.172631, 3.223728, 1.744868, 131
15, 3.163009, 3.278444, 1.762229, 131
16, 3.152438, 3.332984, 1.779591, 131
17, 3.140923, 3.387333, 1.796952, 131
18, 3.128465, 3.441474, 1.814313, 131
19, 3.115070, 3.495391, 1.831674, 131
20, 3.100741, 3.549067, 1.849035, 131
21, 3.085482, 3.602485, 1.866396, 131
22, 3.069298, 3.655631, 1.883757, 131
23, 3.052193, 3.708488, 1.901118, 131
24, 3.034174, 3.761041, 1.918479, 131
25, 3.015245, 3.813272, 1.935841, 131
26, 2.995412, 3.865167, 1.953202, 131
27, 2.974681, 3.916710, 1.970563, 131
28, 2.953059, 3.967885, 1.987924, 131
29, 2.930551, 4.018677, 2.005285, 131
30, 2.907166, 4.069070, 2.022646, 131
31, 2.882908, 4.119050, 2.040007, 131
32, 2.857787, 4.168602, 2.057368, 131
33, 2.831809, 4.217710, 2.074729, 131
34, 2.804983, 4.266359, 2.092091, 131
35, 2.777316, 4.314535, 2.109452, 131
36, 2.748817, 4.362224, 2.126813, 131
37, 2.719495, 4.409411, 2.144174, 131
38, 2.689357, 4.456082, 2.161535, 131
39, 2.658414, 4.502223, 2.178896, 131
40, 2.626675, 4.547819, 2.196257, 131
41, 2.594149, 4.592857, 2.213618, 131
42, 2.560846, 4.637324, 2.230979, 131
43, 2.526775, 4.681207, 2.248341, 131
44, 2.491949, 4.724491, 2.265702, 131
45, 2.456376, 4.767164, 2.283063, 131
46, 2.420067, 4.809213, 2.300424, 131
47, 2.383034, 4.850625, 2.317785, 131
48, 2.420781, 4.809862, 2.335146, 66
49, 2.459229, 4.769760, 2.352507, 1
50, 2.498368, 4.730332, 2.369868, 1
51, 2.538185, 4.691589, 2.387229, 1
52, 2.578668, 4.653543, 2.404591, 1
53, 2.619807, 4.616206, 2.421952, 1
54, 2.661587, 4.579588, 2.439313, 1
