# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 194
# Success: Yes
# Date: 2025-03-23 21:28:22

# Initial State: 3.250000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 3.250000, 2.450000, 1.570796, 66
1, 3.250000, 2.505556, 1.570796, 66
2, 3.250000, 2.561111, 1.570796, 68
3, 3.250000, 2.616667, 1.570796, 68
4, 3.250000, 2.672222, 1.570796, 68
5, 3.250000, 2.727778, 1.570796, 68
6, 3.250000, 2.783333, 1.570796, 68
7, 3.250000, 2.838889, 1.570796, 68
8, 3.250000, 2.894444, 1.570796, 68
9, 3.250000, 2.950000, 1.570796, 68
10, 3.250000, 3.005556, 1.570796, 68
11, 3.250000, 3.061111, 1.570796, 68
12, 3.250000, 3.116667, 1.570796, 68
13, 3.250000, 3.172222, 1.570796, 68
14, 3.250000, 3.227778, 1.570796, 68
15, 3.250000, 3.283333, 1.570796, 68
16, 3.250000, 3.338889, 1.570796, 68
17, 3.250000, 3.394444, 1.570796, 68
18, 3.250000, 3.450000, 1.570796, 68
19, 3.250000, 3.505556, 1.570796, 68
20, 3.250000, 3.561111, 1.588157, 68
21, 3.249036, 3.616658, 1.605519, 131
22, 3.247107, 3.672180, 1.622880, 131
23, 3.244215, 3.727661, 1.640241, 131
24, 3.240360, 3.783082, 1.657602, 131
25, 3.235543, 3.838429, 1.674963, 131
26, 3.229767, 3.893683, 1.692324, 131
27, 3.223032, 3.948829, 1.709685, 131
28, 3.215341, 4.003849, 1.727046, 131
29, 3.206695, 4.058728, 1.744407, 131
30, 3.197099, 4.113449, 1.761769, 131
31, 3.186553, 4.167994, 1.779130, 131
32, 3.175063, 4.222348, 1.796491, 131
33, 3.162630, 4.276495, 1.813852, 131
34, 3.149260, 4.330418, 1.831213, 131
35, 3.134955, 4.384100, 1.848574, 131
36, 3.119721, 4.437526, 1.865935, 131
37, 3.103561, 4.490679, 1.883296, 131
38, 3.086481, 4.543544, 1.900657, 131
39, 3.068486, 4.596105, 1.918019, 131
40, 3.049581, 4.648345, 1.935380, 131
41, 3.029773, 4.700249, 1.952741, 131
42, 3.009066, 4.751801, 1.970102, 131
43, 2.987467, 4.802986, 1.987463, 131
44, 2.964983, 4.853789, 2.004824, 131
45, 2.941620, 4.904193, 2.022185, 131
46, 2.917386, 4.954184, 2.039546, 131
47, 2.892287, 5.003747, 2.056907, 131
48, 2.866332, 5.052867, 2.074269, 131
49, 2.839528, 5.101529, 2.091630, 131
50, 2.811884, 5.149718, 2.108991, 131
51, 2.783407, 5.197420, 2.126352, 131
52, 2.754106, 5.244620, 2.143713, 131
53, 2.723990, 5.291305, 2.161074, 131
54, 2.693068, 5.337460, 2.178435, 131
55, 2.661350, 5.383071, 2.195796, 131
56, 2.628844, 5.428124, 2.213157, 131
57, 2.595562, 5.472607, 2.230519, 131
58, 2.561512, 5.516505, 2.247880, 131
59, 2.526705, 5.559805, 2.265241, 131
60, 2.491152, 5.602494, 2.282602, 131
61, 2.454863, 5.644560, 2.299963, 131
62, 2.417849, 5.685989, 2.317324, 131
63, 2.380122, 5.726770, 2.334685, 131
64, 2.418551, 5.686651, 2.352046, 131
65, 2.457672, 5.647204, 2.369407, 66
66, 2.497471, 5.608443, 2.386769, 1
67, 2.537937, 5.570379, 2.404130, 1
68, 2.579058, 5.533022, 2.421491, 1
69, 2.620822, 5.496386, 2.438852, 1
70, 2.663215, 5.460479, 2.456213, 1
71, 2.706224, 5.425315, 2.473574, 1
72, 2.749838, 5.390902, 2.490935, 1
73, 2.794043, 5.357251, 2.508296, 1
74, 2.838825, 5.324373, 2.525657, 1
75, 2.884172, 5.292277, 2.543019, 1
76, 2.930068, 5.260974, 2.560380, 1
77, 2.976502, 5.230472, 2.577741, 1
78, 3.023457, 5.200780, 2.595102, 1
79, 3.070921, 5.171908, 2.612463, 1
80, 3.118880, 5.143865, 2.629824, 1
81, 3.167317, 5.116658, 2.647185, 1
82, 3.216220, 5.090297, 2.664546, 1
83, 3.265573, 5.064788, 2.681907, 1
84, 3.315362, 5.040140, 2.699269, 1
85, 3.365570, 5.016360, 2.716630, 1
86, 3.416185, 4.993455, 2.733991, 1
87, 3.467189, 4.971432, 2.751352, 1
88, 3.518567, 4.950298, 2.768713, 1
89, 3.570305, 4.930059, 2.786074, 1
90, 3.622387, 4.910722, 2.803435, 1
91, 3.674796, 4.892291, 2.820796, 1
92, 3.727517, 4.874773, 2.838157, 1
93, 3.674500, 4.891373, 2.855519, 1
94, 3.621202, 4.907051, 2.872880, 1
95, 3.567640, 4.921800, 2.890241, 66
96, 3.513830, 4.935617, 2.907602, 66
97, 3.459789, 4.948499, 2.924963, 131
98, 3.405532, 4.960440, 2.942324, 131
99, 3.351076, 4.971437, 2.959685, 131
100, 3.296437, 4.981487, 2.977046, 131
101, 3.241632, 4.990588, 2.994407, 131
102, 3.186677, 4.998735, 3.011769, 131
103, 3.131589, 5.005927, 3.029130, 131
104, 3.076384, 5.012162, 3.046491, 131
105, 3.021079, 5.017438, 3.063852, 131
106, 2.965692, 5.021752, 3.081213, 131
107, 2.910237, 5.025105, 3.098574, 131
108, 2.854733, 5.027494, 3.115935, 131
109, 2.799196, 5.028919, 3.133296, 131
110, 2.743642, 5.029380, 3.150657, 131
111, 2.688089, 5.028876, 3.168019, 131
112, 2.632553, 5.027408, 3.185380, 131
113, 2.688055, 5.029840, 3.202741, 131
114, 2.743507, 5.033235, 3.220102, 131
115, 2.798891, 5.037592, 3.237463, 131
116, 2.854192, 5.042910, 3.254824, 131
117, 2.909392, 5.049187, 3.272185, 66
118, 2.964474, 5.056422, 3.289546, 66
119, 3.019423, 5.064612, 3.306907, 1
120, 3.074221, 5.073754, 3.324269, 1
121, 3.128852, 5.083846, 3.341630, 1
122, 3.183300, 5.094886, 3.358991, 1
123, 3.237548, 5.106868, 3.376352, 1
124, 3.291579, 5.119791, 3.393713, 1
125, 3.345379, 5.133650, 3.411074, 1
126, 3.398929, 5.148441, 3.428435, 1
127, 3.452215, 5.164159, 3.445796, 1
128, 3.505219, 5.180799, 3.463157, 1
129, 3.557927, 5.198358, 3.480519, 1
130, 3.610322, 5.216829, 3.497880, 1
131, 3.662389, 5.236206, 3.515241, 1
132, 3.714111, 5.256485, 3.532602, 1
133, 3.662749, 5.235311, 3.549963, 1
134, 3.611762, 5.213249, 3.567324, 1
135, 3.561165, 5.190306, 3.584685, 1
136, 3.510975, 5.166487, 3.602046, 1
137, 3.461205, 5.141801, 3.619407, 1
138, 3.411872, 5.116254, 3.636769, 1
139, 3.362989, 5.089855, 3.654130, 3
140, 3.314572, 5.062611, 3.671491, 66
141, 3.266636, 5.034531, 3.688852, 131
142, 3.219194, 5.005622, 3.706213, 131
143, 3.172261, 4.975895, 3.723574, 131
144, 3.125851, 4.945357, 3.740935, 131
145, 3.079979, 4.914018, 3.758296, 131
146, 3.034657, 4.881888, 3.775657, 131
147, 2.989900, 4.848975, 3.793019, 131
148, 2.945721, 4.815291, 3.810380, 131
149, 2.902134, 4.780844, 3.827741, 131
150, 2.859151, 4.745646, 3.845102, 131
151, 2.816785, 4.709708, 3.862463, 131
152, 2.775050, 4.673039, 3.879824, 131
153, 2.733958, 4.635651, 3.897185, 131
154, 2.693521, 4.597555, 3.914546, 131
155, 2.653752, 4.558764, 3.931907, 131
156, 2.614662, 4.519287, 3.949269, 131
157, 2.576263, 4.479138, 3.966630, 131
158, 2.538567, 4.438329, 3.983991, 131
159, 2.501585, 4.396871, 4.001352, 131
160, 2.465328, 4.354777, 4.018713, 131
161, 2.429808, 4.312060, 4.036074, 131
162, 2.395034, 4.268733, 4.053435, 131
163, 2.361018, 4.224809, 4.070796, 131
164, 2.327769, 4.180301, 4.088157, 131
165, 2.295299, 4.135223, 4.105519, 131
166, 2.263615, 4.089588, 4.122880, 131
167, 2.232729, 4.043409, 4.140241, 131
168, 2.202649, 3.996701, 4.157602, 131
169, 2.173385, 3.949478, 4.174963, 131
170, 2.144944, 3.901755, 4.192324, 131
171, 2.117337, 3.853544, 4.209685, 131
172, 2.090570, 3.804862, 4.227046, 131
173, 2.064653, 3.755722, 4.244407, 131
174, 2.039592, 3.706140, 4.261769, 131
175, 2.015397, 3.656130, 4.279130, 131
176, 1.992073, 3.605708, 4.296491, 131
177, 1.969628, 3.554888, 4.313852, 131
178, 1.948068, 3.503686, 4.331213, 131
179, 1.927401, 3.452118, 4.348574, 131
180, 1.907632, 3.400199, 4.365935, 131
181, 1.888767, 3.347944, 4.383296, 131
182, 1.870812, 3.295370, 4.400657, 131
183, 1.853773, 3.242492, 4.418019, 131
184, 1.837654, 3.189326, 4.435380, 131
185, 1.822461, 3.135889, 4.452741, 131
