# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 267
# Success: Yes
# Date: 2025-03-23 23:39:25

# Initial State: 5.400000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 5.400000, 2.450000, 1.570796, 66
1, 5.400000, 2.505556, 1.570796, 68
2, 5.400000, 2.561111, 1.570796, 68
3, 5.400000, 2.616667, 1.570796, 68
4, 5.400000, 2.672222, 1.588157, 131
5, 5.399036, 2.727769, 1.605519, 131
6, 5.397107, 2.783291, 1.605519, 68
7, 5.395178, 2.838814, 1.605519, 68
8, 5.393250, 2.894336, 1.605519, 68
9, 5.391321, 2.949858, 1.605519, 68
10, 5.389392, 3.005380, 1.605519, 68
11, 5.387464, 3.060902, 1.605519, 68
12, 5.385535, 3.116424, 1.605519, 68
13, 5.383607, 3.171946, 1.605519, 68
14, 5.381678, 3.227468, 1.605519, 68
15, 5.379749, 3.282990, 1.622880, 131
16, 5.376857, 3.338470, 1.622880, 68
17, 5.373965, 3.393951, 1.622880, 68
18, 5.371073, 3.449431, 1.622880, 68
19, 5.368180, 3.504911, 1.622880, 68
20, 5.365288, 3.560391, 1.622880, 68
21, 5.362396, 3.615871, 1.622880, 68
22, 5.359504, 3.671352, 1.622880, 68
23, 5.356612, 3.726832, 1.622880, 68
24, 5.353719, 3.782312, 1.622880, 68
25, 5.350827, 3.837792, 1.622880, 68
26, 5.347935, 3.893273, 1.622880, 68
27, 5.345043, 3.948753, 1.622880, 68
28, 5.342151, 4.004233, 1.622880, 68
29, 5.339258, 4.059713, 1.622880, 68
30, 5.336366, 4.115193, 1.640241, 131
31, 5.332511, 4.170615, 1.640241, 68
32, 5.328656, 4.226037, 1.640241, 68
33, 5.324801, 4.281458, 1.640241, 68
34, 5.320946, 4.336880, 1.640241, 68
35, 5.317092, 4.392302, 1.640241, 68
36, 5.313237, 4.447723, 1.640241, 68
37, 5.309382, 4.503145, 1.640241, 68
38, 5.305527, 4.558567, 1.657602, 131
39, 5.300710, 4.613913, 1.657602, 68
40, 5.295894, 4.669259, 1.657602, 68
41, 5.291077, 4.724606, 1.657602, 68
42, 5.286261, 4.779952, 1.657602, 68
43, 5.281444, 4.835298, 1.657602, 68
44, 5.276628, 4.890645, 1.657602, 68
45, 5.271811, 4.945991, 1.657602, 68
46, 5.266995, 5.001338, 1.657602, 68
47, 5.262178, 5.056684, 1.674963, 131
48, 5.256402, 5.111938, 1.692324, 131
49, 5.249667, 5.167084, 1.692324, 68
50, 5.242932, 5.222230, 1.692324, 68
51, 5.236197, 5.277376, 1.692324, 68
52, 5.229462, 5.332522, 1.692324, 68
53, 5.222727, 5.387667, 1.692324, 68
54, 5.215992, 5.442813, 1.692324, 68
55, 5.209257, 5.497959, 1.692324, 68
56, 5.202522, 5.553105, 1.692324, 68
57, 5.195787, 5.608251, 1.692324, 68
58, 5.189053, 5.663397, 1.709685, 131
59, 5.181361, 5.718417, 1.709685, 68
60, 5.173670, 5.773438, 1.709685, 68
61, 5.165979, 5.828458, 1.709685, 68
62, 5.158287, 5.883479, 1.709685, 68
63, 5.150596, 5.938499, 1.709685, 68
64, 5.142905, 5.993520, 1.709685, 68
65, 5.135214, 6.048541, 1.727046, 131
66, 5.126568, 6.103419, 1.744407, 131
67, 5.116972, 6.158140, 1.744407, 68
68, 5.107375, 6.212860, 1.744407, 68
69, 5.097778, 6.267581, 1.744407, 68
70, 5.088182, 6.322301, 1.744407, 68
71, 5.078585, 6.377021, 1.744407, 68
72, 5.068988, 6.431742, 1.744407, 68
73, 5.059392, 6.486462, 1.744407, 68
74, 5.049795, 6.541183, 1.744407, 68
75, 5.040198, 6.595903, 1.761769, 131
76, 5.029653, 6.650449, 1.779130, 131
77, 5.018162, 6.704803, 1.779130, 68
78, 5.006672, 6.759157, 1.779130, 68
79, 4.995181, 6.813511, 1.779130, 68
80, 4.983691, 6.867866, 1.779130, 68
81, 4.972200, 6.922220, 1.779130, 68
82, 4.960710, 6.976574, 1.779130, 68
83, 4.949219, 7.030929, 1.779130, 68
84, 4.937729, 7.085283, 1.796491, 131
85, 4.925296, 7.139429, 1.813852, 131
86, 4.911926, 7.193352, 1.831213, 131
87, 4.897621, 7.247034, 1.831213, 68
88, 4.883317, 7.300717, 1.831213, 68
89, 4.869012, 7.354399, 1.831213, 68
90, 4.854707, 7.408082, 1.831213, 68
91, 4.840403, 7.461764, 1.831213, 68
92, 4.826098, 7.515446, 1.831213, 68
93, 4.811793, 7.569129, 1.848574, 131
94, 4.796559, 7.622555, 1.865935, 131
95, 4.780399, 7.675708, 1.865935, 68
96, 4.764240, 7.728861, 1.865935, 68
97, 4.748080, 7.782015, 1.865935, 68
98, 4.731921, 7.835168, 1.865935, 68
99, 4.715761, 7.888322, 1.865935, 68
100, 4.699602, 7.941475, 1.883296, 131
101, 4.682522, 7.994340, 1.900657, 131
102, 4.664527, 8.046901, 1.918019, 131
103, 4.645622, 8.099141, 1.918019, 68
104, 4.626717, 8.151381, 1.918019, 68
105, 4.607812, 8.203621, 1.918019, 68
106, 4.588907, 8.255861, 1.935380, 131
107, 4.569098, 8.307765, 1.952741, 131
108, 4.548391, 8.359317, 1.970102, 131
109, 4.526792, 8.410502, 1.987463, 131
110, 4.504308, 8.461305, 1.987463, 68
111, 4.481824, 8.512107, 1.987463, 68
112, 4.459340, 8.562909, 2.004824, 131
113, 4.435977, 8.613314, 2.022185, 131
114, 4.411743, 8.663305, 2.039546, 131
115, 4.386645, 8.712868, 2.056907, 131
116, 4.360690, 8.761988, 2.074269, 131
117, 4.333886, 8.810650, 2.091630, 131
118, 4.306241, 8.858839, 2.108991, 131
119, 4.277764, 8.906541, 2.126352, 131
120, 4.248463, 8.953741, 2.143713, 131
