# U-Turn Demonstration
# Street Width: 6.0m
# Total Steps: 268
# Success: Yes
# Date: 2025-03-24 18:32:43

# Initial State: 1.100000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 1.100000, 2.450000, 1.570796, 66
1, 1.100000, 2.505556, 1.570796, 66
2, 1.100000, 2.561111, 1.570796, 66
3, 1.100000, 2.616667, 1.570796, 68
4, 1.100000, 2.672222, 1.570796, 68
5, 1.100000, 2.727778, 1.570796, 68
6, 1.100000, 2.783333, 1.570796, 68
7, 1.100000, 2.838889, 1.570796, 68
8, 1.100000, 2.894444, 1.570796, 68
9, 1.100000, 2.950000, 1.570796, 68
10, 1.100000, 3.005556, 1.570796, 68
11, 1.100000, 3.061111, 1.553435, 68
12, 1.100964, 3.116658, 1.553435, 68
13, 1.101929, 3.172205, 1.553435, 5
14, 1.102893, 3.227753, 1.553435, 68
15, 1.103858, 3.283300, 1.553435, 68
16, 1.104822, 3.338847, 1.553435, 68
17, 1.105787, 3.394394, 1.553435, 68
18, 1.106751, 3.449941, 1.536074, 68
19, 1.108680, 3.505463, 1.536074, 68
20, 1.110608, 3.560986, 1.536074, 5
21, 1.112537, 3.616508, 1.536074, 68
22, 1.114466, 3.672030, 1.536074, 68
23, 1.116394, 3.727552, 1.536074, 68
24, 1.118323, 3.783074, 1.536074, 68
25, 1.120252, 3.838596, 1.536074, 68
26, 1.122180, 3.894118, 1.536074, 68
27, 1.124109, 3.949640, 1.518713, 68
28, 1.127001, 4.005120, 1.518713, 68
29, 1.129893, 4.060600, 1.518713, 5
30, 1.132785, 4.116081, 1.518713, 68
31, 1.135678, 4.171561, 1.518713, 68
32, 1.138570, 4.227041, 1.518713, 68
33, 1.141462, 4.282521, 1.518713, 68
34, 1.144354, 4.338002, 1.518713, 68
35, 1.147247, 4.393482, 1.518713, 68
36, 1.150139, 4.448962, 1.518713, 68
37, 1.153031, 4.504442, 1.518713, 68
38, 1.155923, 4.559922, 1.518713, 68
39, 1.158815, 4.615403, 1.501352, 68
40, 1.162670, 4.670824, 1.501352, 68
41, 1.166525, 4.726246, 1.501352, 5
42, 1.170380, 4.781668, 1.501352, 68
43, 1.174235, 4.837089, 1.501352, 68
44, 1.178090, 4.892511, 1.501352, 68
45, 1.181945, 4.947933, 1.501352, 68
46, 1.185800, 5.003354, 1.501352, 68
47, 1.189655, 5.058776, 1.501352, 68
48, 1.193510, 5.114198, 1.483991, 68
49, 1.198326, 5.169544, 1.483991, 68
50, 1.203143, 5.224890, 1.483991, 5
51, 1.207959, 5.280237, 1.483991, 68
52, 1.212776, 5.335583, 1.483991, 68
53, 1.217592, 5.390929, 1.483991, 68
54, 1.222409, 5.446276, 1.483991, 68
55, 1.227225, 5.501622, 1.483991, 68
56, 1.232041, 5.556969, 1.483991, 68
57, 1.236858, 5.612315, 1.466630, 68
58, 1.242635, 5.667569, 1.466630, 68
59, 1.248411, 5.722824, 1.466630, 5
60, 1.254188, 5.778078, 1.466630, 68
61, 1.259964, 5.833333, 1.466630, 68
62, 1.265741, 5.888587, 1.466630, 68
63, 1.271517, 5.943841, 1.466630, 68
64, 1.277294, 5.999096, 1.466630, 68
65, 1.283071, 6.054350, 1.466630, 68
66, 1.288847, 6.109605, 1.449269, 68
67, 1.295582, 6.164750, 1.431907, 68
68, 1.303273, 6.219771, 1.431907, 5
69, 1.310965, 6.274792, 1.431907, 5
70, 1.318656, 6.329812, 1.431907, 68
71, 1.326347, 6.384833, 1.431907, 68
72, 1.334038, 6.439853, 1.431907, 68
73, 1.341730, 6.494874, 1.431907, 68
74, 1.349421, 6.549895, 1.431907, 68
75, 1.357112, 6.604915, 1.431907, 68
76, 1.364803, 6.659936, 1.414546, 68
77, 1.373449, 6.714814, 1.414546, 68
78, 1.382094, 6.769693, 1.414546, 5
79, 1.390739, 6.824572, 1.414546, 68
80, 1.399385, 6.879451, 1.414546, 68
81, 1.408030, 6.934330, 1.414546, 68
82, 1.416675, 6.989208, 1.414546, 68
83, 1.425320, 7.044087, 1.414546, 68
84, 1.433966, 7.098966, 1.414546, 68
85, 1.442611, 7.153845, 1.414546, 68
86, 1.451256, 7.208723, 1.397185, 68
87, 1.460853, 7.263444, 1.397185, 68
88, 1.470450, 7.318164, 1.397185, 5
89, 1.480046, 7.372885, 1.397185, 68
90, 1.489643, 7.427605, 1.397185, 68
